asset_number,title,original_department,added_department
683,Differential Pressure Transmitter D/P-1,EN,
684,Differential Pressure Transmitter D/P-2,EN,
685,Differential Pressure Transmitter D/P-3,EN,
686,Differential Pressure Transmitter D/P-4,EN,
687,Differential Pressure Transmitter D/P-5,EN,
688,Differential Pressure Transmitter D/P-6,EN,
690,AAON Rooftop Unit RTU-1,,
692,BSC,QC,
693,Binder Incubator,,
694,Conductivity Calibration Kit,EN,
695,Watson Marlow Pump 520S,PD,
703,-80C Freezer,,
704,Binder Incubator,,
705,-80 Thermo Scientific Revco Plus Ultra Low Temp Freezer,QC,
706,Top loading balance for research animals,,
707,Top loading balance for research animals,,
708,Image Scanner III,QC,
711,AKTA Prime Plus,PD,
712,AKTA Prime Plus,PD,
713,pH Meter,PD,
714,Nanodrop Spectrophotometer,,
715,Industrial UV Cell; peek,,
716,Industrial UV Cell; peek,,
720,37ºC Incubator,QC,
722,Electronic Multi Channel Pipette; 250ul; cordless,QC,
723,Oxygen Regulator,QC,
724,Carbon Dioxide Regulator,QC,
725,Nitrogen Gas Regulator,QC,
726,FACS calibur flow cytometer,,
727,Biotek Plate Washer,QC,
728,VWR Laboratory Thermostatic bath; hot water bath 12L 120V,QC,
729,Inverted Microscope; Vista Vision,QC,
731,250uL Thermo Scientific Pipette,BD,
732,1250uL Matrix Pipette,BD,
733,2-20uL Pipette,BD,
734,100-1000uL Pipette,BD,
735,20-200uL Pipette,BD,
736,100-1000uL Pipette,BD,
737,0.5-10uL Pipette,BD,
738,2-20uL Pipette,BD,
739,20-200uL Pipette,BD,
740,5-50uL Pipette,BD,
741,0.5-10uL Pipette,,
742,2-20uL Pipette,,
743,20-200uL Pipette,,
744,100-1000uL Pipette,,
745,20-200uL Pipette,,
746,100-1000uL Pipette,,
747,2-20uL Pipette,,
748,Nanodrop ND-1000 Spectrophotometer,PD,
749,5-50uL Thermo Scientific Pipette,,
750,50-300uL Thermo Scientific Pipette,,
751,0.5-10uL VWR Pipette,,
752,100-1000uL VWR Pipette,,
753,50-300uL Thermo Scientific Pipette,PD,
754,0.5-10uL VWR Pipette,,
755,2-20uL VWR Pipette,,
756,20-200uL VWR Pipette,,
757,0-10 Bar Manometer,MF,
758,0-10 Bar Manometer,,
759,BPG 200/500 Column,,
760,BPG 200/500 Column,,
761,O2 Gas Supply System serving the CMF,,
762,CO2 Gas Supply System serving CMF,,
769,Digital Long Stem Thermometer,PD,
770,2-20uL VWR Pipette,,
771,100-1000uL VWR Pipette,PD,
772,20-200uL VWR Pipette,PD,
773,20-200uL VWR Pipette,PD,
774,0.5-10uL VWR Pipette,,
775,100-1000uL VWR Pipette,,
776,2-20uL VWR Pipette,,
777,0.5-10uL VWR Pipette,PD,
778,-80 Freezer,PD,
779,Small Scale Pump,PD,
780,Small Scale Pump,,MF
785,-20C to 110C thermometer; total immersion,,
789,2uL pipette,QC,
790,-80C Freezer,PD,
791,Balco Incubator,PD,
792,Heat Block,QC,
793,GE Kaye Temperature Bath,EN,
794,Cryostat,,
795,Upright Microscope,,
796,Inverted Microscope Ti,,
800,VWR -20C Freezer,BD,
801,Refrigerator,BD,
802,0802:  CO2 Incubator,PD,
803,0803:  CO2 Incubator,PD,
804,Binder Refrigerated Incubator,BD,
805,Binder Incubator,BD,
806,Thermo -80C Freezer,BD,
807,-80C Freezer,BD,
808,pH Meter,,
809,Multichannel pipette,,
810,-80C Freezer,QC,
813,-20C Freezer,QC,
815,2-8C Refrigerator,,
816,BSC,,
817,HPLC,,
818,Chart Recorder,,
819,Chart Recorder,,
820,Chart Recorder,,
821,Chart Recorder,,
822,-80C Freezer,,
823,Chart Recorder,,
825,Plate Washer,,
826,Sanyo Labcool 2-8°C Refrigerator,,
827,2-8°C Refridgerator,,
828,Chart Recorder,,
829,Chart Recorder,,
830,Chart Recorder,,
832,Shaking Incubator,,
833,Vesamax Plate Reader,,
834,2-8°C Refrigerator,,BD
835,2-8°C Refrigerator,,
836,LN2 Dewar Cryo Plus 2,QC,
838,Centrifuge,BD,
839,Power Supply,,
840,Precision Balance,,
841,pH Meter,,
842,Lab Thermostatic Bath,,
843,Centrifuge,,
845,Balance,BD,
847,pH Meter,BD,
848,Biohit Proline Single-Channel Pipette; Variable Volume; 0.5 to 10 uL,,
849,Biohit Proline Single-Channel Pipette; Variable Volume; 2 to 20 uL,,
850,Biohit Proline Single-Channel Pipette; Variable Volume; 20 to 200 uL,,
851,Biohit Proline Single-Channel Pipette; Variable Volume; 100 to 1000 uL,,
852,Biohit Proline 12-Channel Pipettor; Variable Volume; 50 to 300 uL,,
853,Biohit Proline Plus Single-Channel Pipette 2 to 20 uL,,
854,Biohit Proline Plus Single-Channel Pipette 20 to 200 uL,,
855,Biohit Proline Plus Single-Channel Pipette 100 to 1000 uL,,
856,Biohit Proline Plus Single-Channel Pipette 300 to 300 uL,,
857,Pressure Regulator; 0-30 psig,QC,
858,P-20 Pipette,BD,
859,P-10 Pipette,BD,
860,P-1000 Pipette,BD,
861,P-200 Pipette,BD,
862,Biosafety Cabinet (class I),BD,
863,Microscope,BD,
865,Fluoroskan Ascent,QC,
867,37°C Incubator,QC,
869,Allegra X-12R Refrigerated Centrifuge,QC,
871,6' Biological Safety Cabinet,QC,
872,4' Biological Safety Cabinet,QC,
873,BSC,,
874,VWR Water Jacketed Co2 Incubator,,
875,VWR Water Jacketed Co2 Incubator,,
878,Orbital Shaker,,MF
879,,,
880,Cellometer,QC,
881,Thermo Fisher Lumiwell Test Plate,QC,
882,-80 Freezer,PD,
883,Tru Bio Bioreactor Delta V Control System,MF,
884,Hyclone sub 250 Single Use Bioreator,MF,
885,Hyclone Sub 1000L Single Use Bioreactor,MF,
887,6' Biosafety Cabinet,,
888,Shaker,,MF
889,Centrifuge,,
891,Sartorius Biowelder,,
892,KMP Pump,PD,
894,Lauda 250L Temperature Control Unit,MF,
895,Matrix Equalizer 8-Channel Pipette 1250 uL,,
896,VWR 2-20 uL Pipette,,
897,VWR 0.5-10 uL Pipette,,
898,Rainin Pipet-Lite 0.5-10 uL,,
899,Rainin Pipet-Lite 10-100 uL,AD,
900,Rainin Pipet-Lite 20-200 uL,,
901,Rainin Pipet-Lite 2-20 uL,,
903,VWR 2-20 uL Pipette,,
904,VWR 10-100 uL Pipette,,
905,VWR 0.5-10 uL Pipette,,
906,VWR 20-200 uL Pipette,BD,
907,VWR 0.1-2 uL Pipette,,
908,VWR 2-20 uL Pipette,,
909,VWR 10-100 uL Pipette,,
910,VWR 100-1000 uL Pipette,,
911,VWR P20 Pipette,,
912,VWR P200 Pipette,,
913,VWR P10 Pipette,,
